rank,score,tier,l1,l2,l3,l4,l5,name,retailer,country,price,cur,azn,reviews,bestseller_ranks,countries,url,img,ev
11,93.9,Ranked in 3+ chains,HOME ESSENTIALS & DIY,Fixing & Hanging,Hooks & Hanging,Wall hooks,Self-adhesive wall hooks (no drilling),Haczyki do zawieszania Tesa,Action,Poland,6.49,PLN,2.87,105,#1 n11 Turkey (n11 search: yapışkan askı); #12 Carrefour Poland (Dom i ogród > Remont i warsztat (all)); #30 Fix Price Russia (Для дома > Хозяйственные мелочи (household sundries)); #50 Fix Price Kazakhstan (Для дома > Хозяйственные мелочи (Household sundries)),"Kazakhstan, Poland, Russia, Turkey",https://www.action.com/pl-pl/p/3004913/haczyki-do-zawieszania-tesa/,https://asset.action.com/image/upload/t_digital_product_image/w_1080/27375258.webp,"n11 Turkey: #1 in 'n11 search: yapışkan askı' (best-selling); Carrefour Poland: #12 in 'Dom i ogród > Remont i warsztat (all)' (most popular); Fix Price Russia: #30 in 'Для дома > Хозяйственные мелочи (household sundries)' (sorted by units sold); Fix Price Kazakhstan: #50 in 'Для дома > Хозяйственные мелочи (Household sundries)' (popular first) | Action PL 6.49 zl (2 pcs, stainless, self-adhesive); Action also magnetic hooks Werckmann 7.99 zl; Fix Price hooks Home Time 4x6 cm 6 pcs, transparent hooks 3 pcs, double hook 69 RUB; n11: Corelle 10'lu adhesive hooks 105 reviews, Sas Haus 10'lu 94 reviews"
12,93.3,Ranked in 3+ chains,"LAUNDRY, BATH & WARDROBE",Wardrobe,Hangers,Clothes hangers,"Plastic clothes hangers, basic multipack","Набор вешалок для лёгкой одежды, 3 шт.",Fix Price,Russia,59,RUB,1.18,76,#2 n11 Turkey (n11 search: askı); #7 Carrefour Poland (Wyposażenie domu > Łazienka (all)); #20 Fix Price Russia (Для дома > Хозяйственные мелочи (household sundries)); #45 Fix Price Kazakhstan (Для дома > Хозяйственные мелочи (Household sundries)),"Kazakhstan, Poland, Russia, Turkey",https://fix-price.com/catalog/dlya-doma/p-5060567-nabor-veshalok-dlya-lgkoy-odejdy-3-sht,https://img.fix-price.com/insecure/rs:fit:800:800/plain/bit/_marketplace/images/origin/e5/e5a02608efb74c6016add41d2b6ef849.jpg,"n11 Turkey: #2 in 'n11 search: askı' (best-selling); Carrefour Poland: #7 in 'Wyposażenie domu > Łazienka (all)' (most popular); Fix Price Russia: #20 in 'Для дома > Хозяйственные мелочи (household sundries)' (sorted by units sold); Fix Price Kazakhstan: #45 in 'Для дома > Хозяйственные мелочи (Household sundries)' (popular first) | Fix Price 59 RUB / 3 pcs (made in Russia); Fix Price also 'Набор вешалок, 3 шт.' on first page of 'Хозяйственные мелочи'; Action PL 'Wieszaki na ubrania – Czarny, 10 szt.'; Pepco PL 'Plastikowe wieszaki z kokardą'"
13,93.0,Ranked in 3+ chains,"LAUNDRY, BATH & WARDROBE",Bath,Bath accessories,Soap & dental,Soap dish,"Мыльница бамбуковая, Bath Republic, 13х9 см",Fix Price,Russia,149,RUB,2.99,64,#9 n11 Turkey (n11 search: sabunluk); #13 Fix Price Kazakhstan (Для дома > Хозяйственные мелочи (Household sundries)); #14 Fix Price Russia (Для дома > Для ванной (bathroom)); #24 Carrefour Poland (Wyposażenie domu > Łazienka (all)),"Kazakhstan, Poland, Russia, Turkey",https://fix-price.com/catalog/dlya-doma/p-5032147-mylnitsa-bambukovaya-ath-epublic-13h9-sm,https://img.fix-price.com/insecure/rs:fit:800:800/plain/bit/_marketplace/images/origin/7b/7b5fdc76f4bc3f41013154c084145116.jpg,"n11 Turkey: #9 in 'n11 search: sabunluk' (best-selling); Fix Price Kazakhstan: #13 in 'Для дома > Хозяйственные мелочи (Household sundries)' (popular first); Fix Price Russia: #14 in 'Для дома > Для ванной (bathroom)' (sorted by units sold); Carrefour Poland: #24 in 'Wyposażenie domu > Łazienka (all)' (most popular) | Fix Price 149 RUB bamboo (category 'Для ванной'); Fix Price plastic 'Мыльница, Bath Republic' on first page of 'Хозяйственные мелочи'; Action PL 'Mydelniczka' 6.95 zl; n11: Eva Metal adhesive 2-pc soap holder 64 ratings"
14,93.0,Ranked in 3+ chains,HOME ESSENTIALS & DIY,Fixing & Hanging,Adhesives & Tapes,Tapes,Double-sided adhesive tape,"Клейкая лента двусторонняя, Master Hand, 3 см х 1 м",Fix Price,Russia,124,RUB,2.49,64,#1 Fix Price Russia (Для дома > Для ремонта (repair / tools / hardware)); #7 Fix Price Kazakhstan (Для дома > Для ремонта (Repair / tools)); #10 Carrefour Poland (Dom i ogród > Remont i warsztat (all)),"Kazakhstan, Poland, Russia, Turkey",https://fix-price.com/catalog/dlya-doma/p-5006152-kleykaya-lenta-dvustoronnyaya-aster-and-3-sm-h-1-m,https://img.fix-price.com/insecure/rs:fit:800:800/plain/bit/_marketplace/images/origin/9f/9fb56f94b24a898d05a35ce141542259.jpg,"Fix Price Russia: #1 in 'Для дома > Для ремонта (repair / tools / hardware)' (sorted by units sold); Fix Price Kazakhstan: #7 in 'Для дома > Для ремонта (Repair / tools)' (popular first); Carrefour Poland: #10 in 'Dom i ogród > Remont i warsztat (all)' (most popular) | Fix Price 124 RUB (listed first in 'Для ремонта'), also 6 mm x 10 m version and 2-roll set; Action PL Bison double-sided mounting tape; n11: Eraks double-sided acrylic tape 64 reviews, 3M VHB 23 reviews"
15,92.9,Ranked in 3+ chains,HOME ESSENTIALS & DIY,Fixing & Hanging,Adhesives & Tapes,Tapes,Masking tape (paper),"Малярная клейкая лента, 48 мм х 20 м",Fix Price,Russia,116,RUB,2.33,60,#2 Fix Price Russia (Для дома > Для ремонта (repair / tools / hardware)); #10 Fix Price Kazakhstan (Для дома > Для ремонта (Repair / tools)); #35 Carrefour Poland (Dom i ogród > Remont i warsztat (all)),"Kazakhstan, Poland, Russia, Turkey",https://fix-price.com/catalog/dlya-doma/p-5006119-malyarnaya-kleykaya-lenta-48-mm-h-20-m,https://img.fix-price.com/insecure/rs:fit:800:800/plain/pim/images/_default_upload_bucket/323dcfa447b9cb6a52b0e38c79dfd7b7.jpg,"Fix Price Russia: #2 in 'Для дома > Для ремонта (repair / tools / hardware)' (sorted by units sold); Fix Price Kazakhstan: #10 in 'Для дома > Для ремонта (Repair / tools)' (popular first); Carrefour Poland: #35 in 'Dom i ogród > Remont i warsztat (all)' (most popular) | Fix Price 116 RUB ('Для ремонта'); Action PL 5+ masking tape SKUs incl. TCX Sensitive 5.90 zl; n11: Replax masking tape 18x32 m 60 reviews, 24x32 m 37 reviews"
16,92.8,Ranked in 3+ chains,HOUSEHOLD CLEANING,Mops & Floor Cleaning,Mop refills,Flat mop pads,Flat mop replacement pad (microfibre),"Насадка на швабру, Home Time, 42х14 см, в ассортименте",Fix Price,Russia,199,RUB,3.99,58,#1 Carrefour Poland (Wyposażenie domu > Domowe porządki > Mopy i szczotki); #13 n11 Turkey (n11 search: mop); #30 Fix Price Kazakhstan (Для дома > Для уборки (Cleaning)); #37 Fix Price Russia (Для дома > Для уборки (cleaning tools)),"Kazakhstan, Poland, Russia, Turkey",https://fix-price.com/catalog/dlya-doma/p-5040480-nasadka-na-shvabru-ome-ime-42h14-sm-v-assortimente,https://img.fix-price.com/insecure/rs:fit:800:800/plain/bit/_marketplace/images/origin/8b/8b03643c09c71817ccc76ae54d0d9c47.jpg,"Carrefour Poland: #1 in 'Wyposażenie domu > Domowe porządki > Mopy i szczotki' (most popular); n11 Turkey: #13 in 'n11 search: mop' (best-selling); Fix Price Kazakhstan: #30 in 'Для дома > Для уборки (Cleaning)' (popular first); Fix Price Russia: #37 in 'Для дома > Для уборки (cleaning tools)' (sorted by units sold) | Fix Price RU & KZ (4 refill SKUs: 42x14, 43x14, 46x18, 42x12 microfibre); Action PL: Ścierka do mopa z mikrofibry Spargo; Action PL: Vileda Pet Pro microfibre mop cloth"
17,92.5,Ranked in 3+ chains,HOUSEHOLD CLEANING,Sponges & Scourers,Dish sponges,Foam + scourer sponges,"Dish sponges, multipack (foam with scourer)","Губки для мытья посуды, 10 шт.",Fix Price,Russia,162.5,RUB,3.26,48,#1 Fix Price Kazakhstan (Для дома > Для уборки (Cleaning)); #1 Fix Price Russia (Для дома > Для уборки (cleaning tools)); #3 Carrefour Poland (Wyposażenie domu > Domowe porządki > Rękawiczki i ścierki); #8 n11 Turkey (n11 search: bulaşık süngeri),"Kazakhstan, Poland, Russia, Turkey",https://fix-price.com/catalog/dlya-doma/p-5025319-gubki-dlya-mytya-posudy-10-sht,https://img.fix-price.com/insecure/rs:fit:800:800/plain/pim/images/ce35a23ef411f4f9c94e034f9a275d9c_9.jpg,"Fix Price Kazakhstan: #1 in 'Для дома > Для уборки (Cleaning)' (popular first); Fix Price Russia: #1 in 'Для дома > Для уборки (cleaning tools)' (sorted by units sold); Carrefour Poland: #3 in 'Wyposażenie domu > Domowe porządki > Rękawiczki i ścierki' (most popular); n11 Turkey: #8 in 'n11 search: bulaşık süngeri' (best-selling) | Fix Price core range (listed first page of 'Для уборки', 4+ multipack SKUs of dish sponges in category); Action PL: Gąbki do czyszczenia Multy 10szt and Gąbki do szorowania 28szt in 'Akcesoria do sprzątania'; n11 TR: Scotch Brite 8-pack 48 reviews, Parex 5-pack listed"
18,92.3,Ranked in 3+ chains,HOME ESSENTIALS & DIY,Electrical & Power,Power & Sockets,Extension leads,"Extension lead, 3-socket","Бытовой удлинитель, ЭРА, 3 м, 3 гнезда",Fix Price,Russia,299,RUB,6.0,320,"#2 Carrefour Poland (Wyposażenie domu > Oświetlenie (all)); #15 Fix Price Kazakhstan (Для дома > Электротовары (Electrical)); #20 n11 Turkey (n11 search: uzatma kablosu); #23 Fix Price Russia (Для дома > Электротовары (electrical: batteries, bulbs, lighting, power, mobile))","Kazakhstan, Poland, Russia, Turkey",https://fix-price.com/catalog/dlya-doma/p-5013234-bytovoy-udlinitel-era-3-m-3-gnezda,https://img.fix-price.com/insecure/rs:fit:800:800/plain/pim/images/cbf86f6fb04cef6c1fbd7c0fa19ad69d_41.jpg,"Carrefour Poland: #2 in 'Wyposażenie domu > Oświetlenie (all)' (most popular); Fix Price Kazakhstan: #15 in 'Для дома > Электротовары (Electrical)' (popular first); n11 Turkey: #20 in 'n11 search: uzatma kablosu' (best-selling); Fix Price Russia: #23 in 'Для дома > Электротовары (electrical: batteries, bulbs, lighting, power, mobile)' (sorted by units sold) | Fix Price 299 RUB (also 1.5 m switched and 3-socket+3 USB versions); Action PL Pro-max 3-socket extension 10.77 zl; n11: 3'lu uzatma kablo 2 m 28 reviews"
19,92.1,Ranked in 3+ chains,HOME ESSENTIALS & DIY,Fixing & Hanging,Adhesives & Tapes,Tapes,Packing tape (with dispenser),Taśma do pakowania z dozownikiem TCX,Action,Poland,14.99,PLN,6.63,298,#1 Carrefour Poland (Dom i ogród > Remont i warsztat (all)); #5 Fix Price Russia (Для дома > Хозяйственные мелочи (household sundries)); #6 Fix Price Kazakhstan (Для дома > Хозяйственные мелочи (Household sundries)),"Kazakhstan, Poland, Russia, Turkey",https://www.action.com/pl-pl/p/3009193/tasma-do-pakowania-z-dozownikiem-tcx/,https://asset.action.com/image/upload/t_digital_product_image/w_1920/3009193_8718964321858-111_01_ew9hlj.webp,"Carrefour Poland: #1 in 'Dom i ogród > Remont i warsztat (all)' (most popular); Fix Price Russia: #5 in 'Для дома > Хозяйственные мелочи (household sundries)' (sorted by units sold); Fix Price Kazakhstan: #6 in 'Для дома > Хозяйственные мелочи (Household sundries)' (popular first) | Action PL 14.99 zl, plus plain TCX packing tape and paper packing tape (priced per m); Fix Price Unibob tape 48 mm x 66 m in 'Хозяйственные мелочи'; n11: 45 mm x 100 m packing tape 298 reviews, 6-pack 174 reviews"
20,91.8,Ranked in 3+ chains,DECOR & ORGANISATION,Storage & Organisation,Storage Boxes,Plastic Storage Boxes,"Plastic storage box with lid, small (5-10 L)","Коробка с крышкой, Fimako, 7 л",Fix Price,Russia,229,RUB,4.6,33,#5 Fix Price Russia (Для дома > Организация хранения (storage & organisation)); #8 Fix Price Kazakhstan (Для дома > Организация хранения (Storage)); #12 n11 Turkey (n11 search: kavanoz); #19 Carrefour Poland (Wyposażenie domu > Łazienka (all)),"Kazakhstan, Poland, Russia, Turkey",https://fix-price.com/catalog/dlya-doma/p-5069571-korobka-s-kryshkoy-imako-7-l,https://img.fix-price.com/insecure/rs:fit:800:800/plain/pim/images/_default_upload_bucket/70f94bc57f76beac4df9e4d1860b19de.jpg,Fix Price Russia: #5 in 'Для дома > Организация хранения (storage & organisation)' (sorted by units sold); Fix Price Kazakhstan: #8 in 'Для дома > Организация хранения (Storage)' (popular first); n11 Turkey: #12 in 'n11 search: kavanoz' (best-selling); Carrefour Poland: #19 in 'Wyposażenie domu > Łazienka (all)' (most popular) | Fix Price core range: category 'Организация хранения' lists 20+ lidded boxes/containers (3.3 L to 32 L); Fix Price RU 229 RUB; Action PL sells lidded boxes from 0.65 L (Pudełko do przechowywania z pokrywką Plast1); Trendyol has dedicated 'plastik kapaklı kutu' landing pages (40+ result pages); Kaspi KZ: lidded plastic storage containers listed
21,91.2,Ranked in 3+ chains,HOME ESSENTIALS & DIY,Electrical & Power,Power & Sockets,Extension leads,Power strip / surge-protected multi-socket (4-6 outlets),Listwa zasilająca Pro-max (6 gniazd),Action,Poland,17.7,PLN,7.82,899,"#1 n11 Turkey (n11 search: uzatma kablosu); #4 Carrefour Poland (Wyposażenie domu > Oświetlenie (all)); #41 Fix Price Russia (Для дома > Электротовары (electrical: batteries, bulbs, lighting, power, mobile))","Poland, Russia, Turkey",https://www.action.com/pl-pl/p/3007327/listwa-zasilajaca-pro-max/,https://asset.action.com/image/upload/t_digital_product_image/w_1920/3007327_8711332491665-110_01_ukg4sd.webp,"n11 Turkey: #1 in 'n11 search: uzatma kablosu' (best-selling); Carrefour Poland: #4 in 'Wyposażenie domu > Oświetlenie (all)' (most popular); Fix Price Russia: #41 in 'Для дома > Электротовары (electrical: batteries, bulbs, lighting, power, mobile)' (sorted by units sold) | Action PL 17.70 zl, plus Emos Legrand strip 24.99 zl and Grundig desk strip; Fix Price ERA 'Eko' surge filter 4 sockets 1.5 m; n11: 7go 3'lu akim korumali priz 103 reviews"
